T,P,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
0.010000000000047748,0.0061015656498154104,0.0010002284466609952,206.53262701271467,206.53362724116133,0.0,2375.3373332996216,2375.3373332996216,0.0006102959523559548,2501.354571789716,2501.3551820856683,0.0,9.157104156277969,9.157104156277969
4.0,0.008115578558744412,0.001000117648246683,157.5305461129952,157.53154623064347,16.770140685988736,2364.094470085116,2380.8646107711047,16.770952339318683,2491.9396225560304,2508.710574895349,0.060948959971280914,8.99130298431713,9.052251944288411
5.0,0.008704412387097037,0.0010001237764564776,147.39977144896227,147.40077157273873,20.974981723782548,2361.273574163213,2382.2485558869957,20.975852272758857,2489.576414042631,2510.5522663153897,0.07609337045482167,8.950481443781108,9.026574814235929
6.0,0.009330688449625549,0.0010001435290753471,137.99661160017936,137.99761174370843,25.17971195304017,2358.4522066555273,2383.6319186085675,25.180645155805905,2487.2125458856444,2512.3931910414503,0.09118303433897612,8.909950010484986,9.00113304482396
8.0,0.010703749386250858,0.001000223678311787,121.14889960640822,121.14989983008654,33.587684000856825,2352.8091155105685,2386.3967995114253,33.58875461520074,2482.4838617319474,2516.072616347148,0.12119556124302999,8.829748750707875,8.950944311950904
10.0,0.0122520249305086,0.001000357361461289,106.5850888834419,106.58608924080336,41.99224164208499,2347.1668116532637,2389.1590532953487,41.99346728241653,2477.755128522831,2519.7485958052475,0.15098324653676487,8.750680303854267,8.901663550391032
11.0,0.013097671299979956,0.0010004439505979861,100.05196112652517,100.05296157047577,46.192859253837014,2344.3462708689094,2390.5391301227464,46.19416960242961,2475.3910410957888,2521.5852106982184,0.16579242131247396,8.71156445750433,8.877356878816803
12.0,0.013994280869363523,0.0010005434971118272,93.96766662228916,93.96866716578627,50.39223485002185,2341.5262364135215,2391.9184712635433,50.393635038684806,2473.0272286044365,2523.4208636431213,0.1805452069251796,8.672723928102114,8.853269135027293
13.0,0.014944449241353509,0.0010006558300414898,88.29831907471797,88.299319730548,54.59030263619934,2338.7067467239067,2393.297049360106,54.59179806121574,2470.6637217351727,2525.2555197963884,0.19524176783916092,8.634155936460589,8.82939770429975
14.0,0.015950877595992435,0.001000780769313062,83.0128058624232,83.01380664319252,58.78702035072274,2335.8878162188576,2394.6748365695803,58.78861668386162,2468.3005270051526,2527.0891436890142,0.2098823488978807,8.595857657937472,8.805740006835352
15.0,0.017016375715134893,0.00100091812789965,78.08254437798058,78.08354529610848,62.982365948828374,2333.0694386277937,2396.051804576622,62.98406914870611,2465.9376300908443,2528.9216992395504,0.22446726267818917,8.557826234775522,8.782293497453711
16.0,0.018143865043613996,0.001001067713690043,73.481261154443,73.48226222215669,67.17633465536528,2330.251589951051,2397.427924606416,67.1781509791017,2463.57499878833,2530.7531497674318,0.23899687834088956,8.520058786912724,8.759055665253614
17.0,0.019336381785919714,0.0010012293311000887,69.18479152619958,69.18579275553067,71.3689363509784,2327.4342310870707,2398.803167438049,71.3708723662221,2461.2125856404546,2532.5834580066767,0.2534716118248541,8.482552421421447,8.7360240332463
18.0,0.02059708003721213,0.0010014027824573875,65.17089780506508,65.17189920784755,75.56019325885063,2324.617310159265,2400.1775034181155,75.56225585615721,2458.850330263711,2534.412586119868,0.2678919172441181,8.445304240721386,8.713196157965504
19.0,0.021929234947425567,0.001001587869186822,61.41910416129239,61.42010574916158,79.75013790163393,2321.8007645729504,2401.5509024745843,79.75233430719527,2456.4881614052083,2536.2404957124036,0.2822582793588011,8.408311349699861,8.690569629058661
